ID,Category,Asset / Requirement,Suggested Spec / Notes,Priority,Owner,Due Date,Status,Received Date,Notes / Link
C8,Video / Motion,Animated manufacturing workflow,"Lottie/SVG or short video for process section",Nice to have,,,,,
C9,Video,Confirm usage rights music VO captions,"List any restricted / classified footage",Must have,,,,,
C10,Video,Autoplay preference,"Muted loop vs click-to-play",Should have,,,,,
D1,Documents,Company capability statement PDF,"For Resources downloads",Must have,,,,,
D2,Documents,AS9100D certificate PDF,"Current valid copy",Must have,,,,,
D3,Documents,NADCAP certificate(s) PDF,"Current valid copy",Must have,,,,,
D4,Documents,ISO 9001 certificate PDF,"If public",Should have,,,,,
D5,Documents,DGCA / MOA approval PDF,"If public",Should have,,,,,
D6,Documents,RFQ submission template,"XLSX or PDF",Should have,,,,,
D7,Documents,Supplier Quality Requirements (SQR) PDF,"If public",Should have,,,,,
D8,Documents,Privacy Policy final text,"Legal-approved",Must have,,,,,
D9,Documents,Terms of Use final text,"Legal-approved",Must have,,,,,
D10,Documents,Cookie Policy final text,"Legal-approved",Should have,,,,,
D11,Documents,Company brochure / presentation,"Optional PDF",Nice to have,,,,,
E1,Content accuracy,Confirm HQ address phones emails,"General sales quality AOG lines",Must have,,,,,
E2,Content accuracy,Confirm business hours,"For Contact page",Must have,,,,,
E3,Content accuracy,Confirm stats (sq ft headcount delivery % etc.),"Replace placeholder marketing numbers",Must have,,,,,
E4,Content accuracy,Confirm leadership names titles bios,"Or provide updates",Should have,,,,,
E5,Content accuracy,Confirm timeline / milestones,"Publishable only",Should have,,,,,
E6,Content accuracy,Publishable vs confidential program list,"HAL Tejas ISRO OEM names clearance",Must have,,,,,
E7,Content accuracy,Live job openings list,"Titles dept location or contact-HR-only",Should have,,,,,
E8,Content accuracy,Real news / case studies / white papers,"Or keep Resources minimal until ready",Should have,,,,,
F1,Functional,Contact form recipient(s),"Email address(es) or CRM",Must have,,,,,
F2,Functional,RFQ form recipient(s) + workflow,"Who owns RFQs; SLA response time",Must have,,,,,
F3,Functional,RFQ drawing upload rules,"Allowed types max size virus scan needs",Must have,,,,,
F4,Functional,Careers application process,"Resume upload vs email vs ATS tool",Should have,,,,,
F5,Functional,Newsletter needed? Tool?,"Yes/No; Mailchimp etc.",Nice to have,,,,,
F6,Functional,Admin / CMS needed? Who edits content?,"News jobs products editors",Should have,,,,,
F7,Functional,Multilingual for launch?,"English only vs more languages",Must have,,,,,
F8,Functional,Analytics preference + IDs,"GA4 or alternative",Should have,,,,,
F9,Functional,Domain DNS hosting owner,"Who manages domain and DNS",Must have,,,,,
G1,Animation preference,Motion level preference,"Subtle / Moderate / Heavy",Should have,,,,,
G2,Animation preference,Prefer real video vs abstract motion graphics,"Choose preferred style",Should have,,,,,
G3,Animation preference,Existing Lottie / AE / 3D assets?,"List what already exists",Nice to have,,,,,
